2011-02-01 08:46:17.869181,2011-02-01 09:41:09.288039,0:54:51.418858
2011-02-01 09:55:53.428490,2011-02-01 11:00:05.812335,1:04:12.383845
2011-02-01 11:00:15.014411,2011-02-01 11:18:36.946758,0:18:21.932347
2011-02-01 12:56:55.398020,2011-02-01 13:32:58.671957,0:36:03.273937
2011-02-01 14:47:20.921338,2011-02-01 17:37:33.616484,2:50:12.695146
2011-02-01 17:37:40.282334,2011-02-01 18:38:22.437631,1:00:42.155297
2011-02-01 20:49:11.280793,2011-02-01 21:59:54.327851,1:10:43.047058
2011-02-02 07:56:45.566387,2011-02-02 08:41:38.772904,0:44:53.206517
2011-02-02 09:16:05.904207,2011-02-02 09:22:48.118248,0:06:42.214041
2011-02-02 09:23:56.523466,2011-02-02 09:54:05.153091,0:30:08.629625
2011-02-02 10:33:09.440900,2011-02-02 12:17:59.950286,1:44:50.509386
2011-02-02 13:56:27.068278,2011-02-02 13:56:56.065843,0:00:28.997565
2011-02-02 13:56:57.420480,2011-02-02 13:57:27.917349,0:00:30.496869
2011-02-02 15:14:15.377754,2011-02-02 15:14:54.469334,0:00:39.091580
2011-02-02 15:14:55.870798,2011-02-02 18:26:33.830932,3:11:37.960134
2011-02-02 19:40:51.368043,2011-02-02 20:24:37.853348,0:43:46.485305
2011-02-02 22:58:10.348519,2011-02-03 00:13:15.341861,1:15:04.993342
2011-02-03 09:02:40.042395,2011-02-03 09:40:58.386744,0:38:18.344349
2011-02-03 10:14:50.515159,2011-02-03 18:56:24.484802,8:41:33.969643
2011-02-03 19:25:05.160063,2011-02-03 21:03:18.669062,1:38:13.508999
2011-02-03 22:11:02.973193,2011-02-03 23:20:02.696353,1:08:59.723160
2011-02-04 08:12:13.354277,2011-02-04 08:57:20.219002,0:45:06.864725
